market_id,interval,open_time,close_time,open_price,high_price,low_price,close_price,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,inserted_at
297,5m,2025-05-01 02:15:00.000000 +00:00,2025-05-01 02:19:59.999000 +00:00,0.6904000000,0.6922000000,0.6904000000,0.6920000000,172045.0000000000,118986.8528200000,605,128078.2000000000,88573.8852400000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:20:00.000000 +00:00,2025-05-01 02:24:59.999000 +00:00,0.6920000000,0.6929000000,0.6917000000,0.6918000000,278168.4000000000,192568.8722700000,743,138721.0000000000,96040.9628900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:25:00.000000 +00:00,2025-05-01 02:29:59.999000 +00:00,0.6917000000,0.6926000000,0.6915000000,0.6922000000,158351.1000000000,109618.9098800000,473,85794.8000000000,59386.5651300000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:30:00.000000 +00:00,2025-05-01 02:34:59.999000 +00:00,0.6922000000,0.6925000000,0.6912000000,0.6913000000,142602.2000000000,98627.5824700000,467,59611.8000000000,41224.7424600000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:35:00.000000 +00:00,2025-05-01 02:39:59.999000 +00:00,0.6913000000,0.6932000000,0.6913000000,0.6923000000,208280.4000000000,144222.6508300000,666,135645.9000000000,93923.8442900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:40:00.000000 +00:00,2025-05-01 02:44:59.999000 +00:00,0.6924000000,0.6925000000,0.6903000000,0.6906000000,311307.3000000000,215088.5479500000,720,81802.5000000000,56525.0539700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:45:00.000000 +00:00,2025-05-01 02:49:59.999000 +00:00,0.6907000000,0.6910000000,0.6895000000,0.6896000000,145185.1000000000,100250.5532000000,565,72155.8000000000,49837.5125000000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:50:00.000000 +00:00,2025-05-01 02:54:59.999000 +00:00,0.6895000000,0.6900000000,0.6889000000,0.6895000000,428073.3000000000,295113.5452000000,724,175488.0000000000,120992.4764100000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:55:00.000000 +00:00,2025-05-01 02:59:59.999000 +00:00,0.6895000000,0.6899000000,0.6875000000,0.6877000000,265019.2000000000,182385.8366500000,653,103969.9000000000,71566.4187700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:00:00.000000 +00:00,2025-05-01 03:04:59.999000 +00:00,0.6877000000,0.6899000000,0.6874000000,0.6898000000,223436.9000000000,153879.8504200000,581,197184.5000000000,135811.1706200000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:05:00.000000 +00:00,2025-05-01 03:09:59.999000 +00:00,0.6899000000,0.6917000000,0.6896000000,0.6911000000,477048.5000000000,329518.1396200000,873,315596.2000000000,217956.7652400000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:10:00.000000 +00:00,2025-05-01 03:14:59.999000 +00:00,0.6911000000,0.6927000000,0.6900000000,0.6900000000,388199.1000000000,268546.9839500000,1094,194995.6000000000,134945.2652300000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:15:00.000000 +00:00,2025-05-01 03:19:59.999000 +00:00,0.6900000000,0.6909000000,0.6893000000,0.6893000000,100686.1000000000,69490.2624000000,445,42789.1000000000,29534.1740800000,2026-01-06 08:50:45.802252 +00:00
